Beholder Zombie; Large undead; neutral evil; 15; natural armor; 93; 11d10+33; 0 ft., fly 20 ft. (hover); 10; 8; 16; 3; 8; 5; Wis +2; ; ; poison; poisoned; Darkvision 60 ft., PP 9; understands Deep Speech and Undercommon but can't speak; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (4d6) piercing damage.<br><br><i><b>Eye Ray:</b></i> The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.<br><br><i>1. Paralyzing Ray:</i> The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>2. Fear Ray:</i> The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>3. Enervation Ray:</i> The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.<br><i>4. Disintegration Ray:</i> If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.<br>If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger non magical object or creation of magical force, this ray disintegrates a 10-foot cube of it.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Yuan-Ti Abomination; Large monstrosity (shapechanger, yuan-ti); neutral evil; 15; natural armor; 127; 15d10+45; 40 ft.; 19; 16; 17; 17; 15; 18; ; Perception +5, Stealth +6; ; poison; poisoned; Darkvision 60 ft., PP 15; Abyssal, Common, Draconic; 7; 2900; ; <i><b>Multiattack (Abomination Form Only):</b></i> The yuan-ti makes two ranged attacks or three melee attacks, but can use its bite and constrict attacks only once each.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one creature. <i>Hit:</i> 7 (1d6+4) piercing damage plus 10 (3d6) poison damage.<br><br><i><b>Constrict:</b> Melee Weapon Attack:</i> +7 to hit, reach 10 ft., one target. Hit: 11 (2d6+4) bludgeoning damage, and the target is grappled (escape DC 14). Until this grapple ends, the target is restrained, and the yuan-ti can't constrict another target.<br><br><i><b>Scimitar (Abomination Form Only):</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) slashing damage.<br><br><i><b>Longbow (Abomination Form Only):</b> Ranged Weapon Attack:</i> +6 to hit, range 150/600 ft., one target. <i>Hit:</i> 12 (2d8+3) piercing damage plus 10 (3d6) poison damage.; ; <i><b>Shapechanger:</b></i> The yuan-ti can use its action to polymorph into a Large snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It doesn't change form if it dies.<br><br><i><b>Innate Spellcasting (Abomination Form Only):</b></i> The yuan-ti's innate spellcasting ability is Charisma (spell save DC 15). The yuan-ti can innately cast the following spells, requiring no material components:<br><br>At will: <i>animal friendship (snakes only)</i><br>3/day: <i>suggestion</i><br>1/day: <i>fear</i><br><br><i><b>Magic Resistance:</b></i> The yuan-ti has advantage on saving throws against spells and other magical effects.
Abominable Yeti; Huge monstrosity; chaotic evil; 15; natural armor; 137; 11d12+66; 40 ft., climb 40 ft.; 24; 10; 22; 9; 13; 9; ; Perception +5, Stealth +4; ; cold; ; Darkvision 60 ft., PP 15; Yeti; 9; 5000; ; <i><b>Multiattack:</b></i> The yeti can use its Chilling Gaze and makes two claw attacks.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +11 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (2d6+7) slashing damage plus 7 (2d6) cold damage.<br><br><i><b>Chilling Gaze:</b></i> The yeti targets one creature it can see within 30 feet of it. If the target can see the yeti, the target must succeed on a DC 18 Constitution saving throw against this magic or take 21 (6d6) cold damage and then be paralyzed for 1 minute, unless it is immune to cold damage. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If the target's saving throw is successful, or if the effect ends on it, the target is immune to this yeti's gaze for 1 hour.<br><br><i><b>Cold Breath (Recharge 6):</b></i> The yeti exhales a 30-foot cone off rigid air. Each creature in that area must make a DC 18 Constitution saving throw, taking 45 (10d8) cold damage on a failed save, or half as much damage on a successful one.<br><br>; ; <i><b>Fear of Fire:</b></i> If the yeti takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.<br><br><i><b>Keen Smell:</b></i> The yeti has advantage on Wisdom (Perception) checks that rely on smell.<br><br><i><b>Snow Camouflage:</b></i> The yeti has advantage on Dexterity (Stealth) checks made to hide in snowy terrain.
Yeti; Large monstrosity; chaotic evil; 12; natural armor; 51; 6d10+18; 40 ft., climb 40 ft.; 18; 13; 16; 8; 12; 7; ; Perception +3, Stealth +3; ; cold; ; Darkvision 60 ft., PP 13; Yeti; 3; 700; ; <i><b>Multiattack:</b></i> The yeti can use its Chilling Gaze and makes two claw attacks.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (1d6+4) slashing damage plus 3 (1d6) cold damage.<br><br><i><b>Chilling Gaze:</b></i> The yeti targets one creature it can see within 30 feet of it. If the target can see the yeti, the target must succeed on a DC 13 Constitution saving throw against this magic or take 10 (3d6) cold damage and then be paralyzed for 1 minute, unless it is immune to cold damage. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If the target's saving throw is successful, or if the effect ends on it, the target is immune to the Chilling Gaze of all yetis (but not abominable yetis) for 1 hour.; ; <i><b>Fear of Fire:</b></i> If the yeti takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.<br><br><i><b>Keen Smell:</b></i> The yeti has advantage on Wisdom (Perception) checks that rely on smell.<br><br><i><b>Snow Camouflage:</b></i> The yeti has advantage on Dexterity (Stealth) checks made to hide in snowy terrain.
Xorn; Medium elemental; neutral; 19; natural armor; 73; 7d8+42; 20 ft., burrow 20 ft.; 17; 10; 22; 11; 10; 11; ; Perception +6, Stealth +3; piercing and slashing from nonmagical attacks that aren't adamantine; ; ; Darkvision 60 ft., Tremorsense 60 ft., PP 16; Terran; 5; 1800; ; <i><b>Multiattack:</b></i> The xorn makes three claw attacks and one bite attack.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d6+3) slashing damage.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (3d6+3) piercing damage.; ; <i><b>Earth Glide:</b></i> The xorn can burrow through nonmagical, unworked earth and stone. While doing so, the xorn doesn't disturb the material it moves through.<br><br><i><b>Stone Camouflage:</b></i> The xorn has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.<br><br><i><b>Treasure Sense:</b></i> The xorn can pinpoint, by scent, the location of precious metals and stones, such as coins and gems, within 60 feet of it.
Wyvern; Large dragon; unaligned; 13; natural armor; 110; 13d10+39; 20 ft., fly 80 ft.; 19; 10; 16; 5; 12; 6; ; Perception +4; ; ; ; Darkvision 60 ft., PP 14; ---; 6; 2300; ; <i><b>Multiattack:</b></i> The wyvern makes two attacks: one with its bite and one with its stinger. While flying, it can use its claws in place of one other attack.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 10 ft., one creature. <i>Hit:</i> 11 (2d6+4) piercing damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d8+4) slashing damage.<br><br><i><b>Stinger:</b> Melee Weapon Attack:</i> +7 to hit, reach 10 ft., one creature. <i>Hit:</i> 11 (2d6+4) piercing damage. The target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.; ; 
Wraith; Medium undead; neutral evil; 13; ; 67; 9d8+27; 0 ft., fly 60 ft. (hover); 6; 16; 16; 12; 14; 15; ; ; acid, cold, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered; necrotic, poison; charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained; Darkvision 60 ft., PP 12; the languages it knew in life; 5; 1800; ; <i><b>Life Drain:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one creature. <i>Hit:</i> 21 (4d8+3) necrotic damage. The target must succeed on a DC 14 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.<br><br><i><b>Create Specter:</b></i> The wraith targets a humanoid within 10 feet of it that has been dead for no longer than 1 minute and died violently. The target's spirit rises as a specter in the space of its corpse or in the nearest unoccupied space. The specter is under the wraith's control. The wraith can have no more than seven specters under its control at one time.; ; <i><b>Incorporeal Movement:</b></i> The wraith can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br><br><i><b>Sunlight Sensitivity:</b></i> While in sunlight, the wraith has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Will-O'-Wisp; Tiny undead; chaotic evil; 19; ; 22; 9d4; 0 ft., fly 50 ft. (hover); 1; 28; 10; 13; 14; 11; ; ; acid, cold, fire, necrotic, thunder, bludgeoning, piercing, and slashing from nonmagical attacks; lightning, poison; exhaustion, grappled, paralyzed, poisoned, prone, restrained, unconscious; Darkvision 120 ft., PP 12; the languages it knew in life; 2; 450; ; <i><b>Shock:</b> Melee Spell Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 9 (2d8) lightning damage.<br><br><i><b>Invisibility:</b></i> The will-o'-wisp and its light magically become invisible until it attacks or uses its Consume Life, or until its concentration ends (as if concentrating on a spell).; ; <i><b>Consume Life:</b></i> As a bonus action, the will-o'-wisp can target one creature it can see within 5 feet of it that has 0 hit points and is still alive. The target must succeed on a DC 10 Constitution saving throw against this magic or die. If the target dies, the will-o'-wisp regains 10 (3d6) hit points.<br><br><i><b>Ephemeral:</b></i> The will-o'-wisp can't wear or carry anything.<br><br><i><b>Incorporeal Movement:</b></i> The will-o'-wisp can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br><br><i><b>Variable Illumination:</b></i> The will-o'-wisp sheds bright light in a 5-to 20-foot radius and dim light for an additional number of feet equal to the chosen radius. The will-o'-wisp can alter the radius as a bonus action.
Wight; Medium undead; neutral evil; 14; studded leather; 45; 6d8+18; 30 ft.; 15; 14; 16; 10; 13; 15; ; Perception +3, Stealth +4; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered; poison; exhaustion, poisoned; Darkvision 60 ft., PP 13; the languages it knew in life; 3; 700; ; <i><b>Multiattack:</b></i> The wight makes two longsword attacks or two longbow attacks. It can use its Life Drain in place of one longsword attack.<br><br><i><b>Life Drain:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 5 (1d6+2) necrotic damage. The target must succeed on a DC 13 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain by this attack rises 24 hours later as a zombie under the wight's control, unless the humanoid is restored to life or its body is destroyed. The wight can have no more than twelve zombies under its control at one time.<br><br><i><b>Longsword:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d8+2) slashing damage, or 7 (1d10+2) slashing damage if used with two hands.<br><br><i><b>Longbow:</b> Ranged Weapon Attack:</i> +4 to hit, range 150/600 ft., one target. <i>Hit:</i> 6 (1d8+2) piercing damage.; ; <i><b>Sunlight Sensitivit:</b></i> While in sunlight, the wight has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Water Weird; Large elemental; neutral; 13; ; 58; 9d10+9; 0 ft., swim 60 ft.; 17; 16; 13; 11; 10; 10; ; ; fire, bludgeoning, piercing, and slashing from nonmagical attacks; poison; exhaustion, grappled, paralyzed, poisoned, restrained, prone, unconscious; Blindsight 30 ft., PP 10; understands Aquan but doesn't speak; 3; 700; ; <i><b>Constrict:</b> Melee Weapon Attack:</i> +5 to hit, reach 10 ft., one creature. <i>Hit:</i> 13 (3d6+3) bludgeoning damage. If the target is Medium or smaller, it is grappled (escape DC 13) and pulled 5 feet toward the water weird. Until this grapple ends, the target is restrained, the water weird tries to drown it, and the water weird can't constrict another target.; ; <i><b>Invisible in Water:</b></i> The water weird is invisible while fully immersed in water.<br><br><i><b>Water Bound:</b></i> The water weird dies if it leaves the water to which it is bound or if that water is destroyed.
Vampire Spawn; Medium Undead; neutral evil; 15; natural armor; 82; 11d8+33; 30 ft.; 16; 16; 16; 11; 10; 12; Dex +6, Wis +3; Perception +3, Stealth +6; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 60 ft., PP 13; the languages it knew in life; 5; 1800; ; <i><b>Multiattack:</b></i> The vampire makes two attacks, only one of which can be a bite attack.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one creature. <i>Hit:</i> 8 (2d4+3) slashing damage. Instead of dealing damage, the vampire can grapple the target (escape DC 13).<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. <i>Hit:</i> 6 (1d6+3) piercing damage plus 7 (2d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.<br><br><h1>Features cont.</h1><p><i><b>Vampire Weaknesses:</b></i> The vampire has the following flaws:<br><i>Forbiddance:</i> The vampire can't enter a residence without an invitation from one of the occupants.<br><i>Harmed by Running Water:</i> The vampire takes 20 acid damage if it ends its turn in running water.<br><i>Stake to the Heart:</i> If a piercing weapon made of wood is driven into the vampire's heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.<br><i>Sunlight Hypersensitivity:</i> The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.</p>; ; <i><b>Regeneration:</b></i> The vampire regains 10 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn.<br><br><i><b>Spider Climb:</b></i> The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Vampire Spellcaster (3/3); Medium undead (shapechanger); lawful evil; 16; natural armor; 144; 17d8+68; 30 ft.; 18; 18; 18; 17; 15; 18; Dex +9, Wis +7, Cha +9; Perception +7, Stealth +9; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 120 ft., PP 17; the languages it knew in life; 15; 13000; ; ; ; <i><b>Spider Climb:</b></i> The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br><br><i><b>Vampire Weaknesses:</b></i> The vampire has the following flaws:<br><i>Forbiddance:</i> The vampire can't enter a residence without an invitation from one of the occupants.<br><i>Harmed by Running Water:</i> The vampire takes 20 acid damage if it ends its turn in running water.<br><i>Stake to the Heart:</i> If a piercing weapon made of wood is driven into the vampire's heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.<br><i>Sunlight Hypersensitivity:</i> The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.
Vampire Spellcaster (2/3); Medium undead (shapechanger); lawful evil; 16; natural armor; 144; 17d8+68; 30 ft.; 18; 18; 18; 17; 15; 18; Dex +9, Wis +7, Cha +9; Perception +7, Stealth +9; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 120 ft., PP 17; the languages it knew in life; 15; 13000; ; <i><b>Children of the Night (1/Day):</b></i> The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn't up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.<br><br>; The vampire can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The vampire regains spent legendary actions at the start of its turn.<br><br><i><b>Move:</b></i> The vampire moves up to its speed without provoking opportunity attacks.<br><i><b>Unarmed Strike:</b></i> The vampire makes one unarmed strike.<br><i><b>Bite (Costs 2 Actions):</b></i> The vampire makes one bite attack.<br><br><h1>Features cont.</h1><p><i><b>Spellcasting:</b></i> The vampire is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 15, +7 to hit with spell attacks). The vampire has the following wizard spells prepared:<br><br>Cantrips (at will): <i>mage hand, prestidigitation, ray of frost</i><br>1st level (4 slots): <i>comprehend languages,fogcloud, sleep</i><br>2nd level (3 slots): <i>detect thoughts, gust of wind, mirror image</i><br>3rd level (3 slots): <i>animate dead, bestow curse, nondetection</i><br>4th level (3 slots): <i>blight, greater invisibility</i><br>5th level (1 slot) : <i>dominate person</i></p>; <i><b>Legendary Resistance (3/Day):</b></i> If the vampire fails a saving throw, it can choose to succeed instead.<br><i><b>Misty Escape:</b></i>. When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn't in sunlight or running water. If it can't transform, it is destroyed. While it has 0 hit points in mist form, it can't revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point.<br><i><b>Regeneration:</b></i> The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn.
Vampire Spellcaster (1/3); Medium undead (shapechanger); lawful evil; 16; natural armor; 144; 17d8+68; 30 ft.; 18; 18; 18; 17; 15; 18; Dex +9, Wis +7, Cha +9; Perception +7, Stealth +9; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 120 ft., PP 17; the languages it knew in life; 15; 13000; ; <i><b>Multiattack (Vampire Form Only):</b></i> The vampire makes two attacks, only one of which can be a bite attack.<br><br><i><b>Unarmed Strike (Vampire Form Only):</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one creature. <i>Hit:</i> 8 (1d8+4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18).<br><br><i><b>Bite (Bat or Vampire Form Only):</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. <i>Hit:</i> 7 (1d6+4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire's control.<br><br><i><b>Charm:</b></i> The vampire targets one humanoid it can see within 30 feet of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn't under the vampire's control, it takes the vampire's requests or actions in the most favorable way it can, and it is a willing target for the vampire's bit attack. Each time the vampire or the vampire's companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect.; ; <i><b>Shapechanger:</b></i> If the vampire isn't in sunlight or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.<br>While in bat form, the vampire can't speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.<br>While in mist form, the vampire can't take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature's space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can't pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight.
Vampire Warrior (3/3); Medium undead (shapechanger); lawful evil; 18; plate armor; 144; 17d8+68; 30 ft.; 18; 18; 18; 17; 15; 18; Dex +9, Wis +7, Cha +9; Perception +7, Stealth +9; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 120 ft., PP 17; the languages it knew in life; 15; 13000; ; ; ; <i><b>Spider Climb:</b></i> The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br><br><i><b>Vampire Weaknesses:</b></i> The vampire has the following flaws:<br><i>Forbiddance:</i> The vampire can't enter a residence without an invitation from one of the occupants.<br><i>Harmed by Running Water:</i> The vampire takes 20 acid damage if it ends its turn in running water.<br><i>Stake to the Heart:</i> If a piercing weapon made of wood is driven into the vampire's heart while the vampire is incapacitated in its resting place, the vampire is paralyzed until the stake is removed.<br><i>Sunlight Hypersensitivity:</i> The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.
Vampire Warrior (2/3); Medium undead (shapechanger); lawful evil; 18; plate armor; 144; 17d8+68; 30 ft.; 18; 18; 18; 17; 15; 18; Dex +9, Wis +7, Cha +9; Perception +7, Stealth +9; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 120 ft., PP 17; the languages it knew in life; 15; 13000; ; <i><b>Children of the Night (1/Day):</b></i> The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn't up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.<br><br>; The vampire can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The vampire regains spent legendary actions at the start of its turn.<br><br><i><b>Move:</b></i> The vampire moves up to its speed without provoking opportunity attacks.<br><i><b>Unarmed Strike:</b></i> The vampire makes one unarmed strike.<br><i><b>Bite (Costs 2 Actions):</b></i> The vampire makes one bite attack.; <i><b>Legendary Resistance (3/Day):</b></i> If the vampire fails a saving throw, it can choose to succeed instead.<br><i><b>Misty Escape:</b></i>. When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn't in sunlight or running water. If it can't transform, it is destroyed. While it has 0 hit points in mist form, it can't revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point.<br><i><b>Regeneration:</b></i> The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn.
Vampire Warrior (1/3); Medium undead (shapechanger); lawful evil; 18; plate armor; 144; 17d8+68; 30 ft.; 18; 18; 18; 17; 15; 18; Dex +9, Wis +7, Cha +9; Perception +7, Stealth +9; necrotic, bludgeoning, piercing, and slashing from nonmagical attacks; ; ; Darkvision 120 ft., PP 17; the languages it knew in life; 15; 13000; ; <i><b>Multiattack:</b></i> The vampire makes two greatsword attacks.<br><br><i><b>Greatsword:</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one creature. <i>Hit:</i> 11 (2d6+4) slashing damage.<br><br><i><b>Multiattack (Vampire Form Only):</b></i> The vampire makes two attacks, only one of which can be a bite attack.<br><br><i><b>Unarmed Strike (Vampire Form Only):</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one creature. <i>Hit:</i> 8 (1d8+4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18).<br><br><i><b>Bite (Bat or Vampire Form Only):</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. <i>Hit:</i> 7 (1d6+4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire's control.<br><br><i><b>Charm:</b></i> The vampire targets one humanoid it can see within 30 feet of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn't under the vampire's control, it takes the vampire's requests or actions in the most favorable way it can, and it is a willing target for the vampire's bit attack. Each time the vampire or the vampire's companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect.; ; <i><b>Shapechanger:</b></i> If the vampire isn't in sunlight or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form.<br>While in bat form, the vampire can't speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies.<br>While in mist form, the vampire can't take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature's space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can't pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight.
